observation_id,batch_id,source_name,source_job_id,revision,observed_at,posted_at,ingested_at,corrects_observation_id,correction_reason,company,title,location,cycle,category,posting_status,sponsorship_status,graduation_eligible,requirements,source_url,canonical_key_hint
obs_182fff2aaf556f3d,1,community,community-R05,1,2026-08-03 06:00:00+00,2026-07-20 00:00:00+00,2026-08-03 06:05:00+00,,,Bluewater Capital,Quantitative Research Intern,"Chicago, IL",Summer 2027,Quant,OPEN,UNSUPPORTED,true,,https://example.invalid/community/R05,bluewatercapital::quantitativeresearchintern::summer2027
obs_b9ca2d2017f79117,1,community,community-R10,1,2026-08-03 06:00:00+00,2026-07-30 00:00:00+00,2026-08-03 06:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R10,everlinehealth::datascienceintern::summer2027
obs_7390ac1247d46613,1,greenhouse,greenhouse-R01,1,2026-08-03 09:00:00+00,2026-07-28 00:00:00+00,2026-08-03 09:05:00+00,,,Northwind Systems,Software Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/greenhouse/R01,northwindsystems::softwareengineerintern::summer2027
obs_dd6b589a089a5f01,1,greenhouse,greenhouse-R02,1,2026-08-03 09:00:00+00,2026-07-30 00:00:00+00,2026-08-03 09:05:00+00,,,Northwind Systems,Machine Learning Intern,"New York, NY",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|machine learning,https://example.invalid/greenhouse/R02,northwindsystems::machinelearningintern::summer2027
obs_228d0cba60b24a15,1,greenhouse,greenhouse-R07,1,2026-08-03 09:00:00+00,2026-07-27 00:00:00+00,2026-08-03 09:05:00+00,,,Cedar Analytics,Data Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,sql|python|airflow|dbt,https://example.invalid/greenhouse/R07,cedaranalytics::dataengineerintern::summer2027
obs_62bcbb30768a0468,1,greenhouse,greenhouse-R13,1,2026-08-03 09:00:00+00,2026-07-22 00:00:00+00,2026-08-03 09:05:00+00,,,Northwind Systems,Platform Engineer Intern,"New York, NY",Fall 2026,SWE,OPEN,SUPPORTED,true,golang|kubernetes|terraform,https://example.invalid/greenhouse/R13,northwindsystems::platformengineerintern::fall2026
obs_4d197f3d904c2e97,1,lever,lever-R03,1,2026-08-03 10:00:00+00,2026-07-25 00:00:00+00,2026-08-03 10:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,true,c++|ros|linux,https://example.invalid/lever/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_aee590a7cd0ec8ca,1,lever,lever-R04,1,2026-08-03 10:00:00+00,2026-07-26 00:00:00+00,2026-08-03 10:05:00+00,,,Acme Robotics,Embedded Systems Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,false,c|embedded|rtos,https://example.invalid/lever/R04,acmerobotics::embeddedsystemsintern::summer2027
obs_62220e65651bd442,1,ashby,ashby-R06,1,2026-08-03 11:00:00+00,2026-07-29 00:00:00+00,2026-08-03 11:05:00+00,,,Bluewater Capital,Software Engineer Intern,"Chicago, IL",Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|golang,https://example.invalid/ashby/R06,bluewatercapital::softwareengineerintern::summer2027
obs_dd56c47630d4be3d,1,ashby,ashby-R11,1,2026-08-03 11:00:00+00,2026-07-24 00:00:00+00,2026-08-03 11:05:00+00,,,Foxglove AI,Research Engineer Intern,"San Francisco, CA",Summer 2027,ML/AI,OPEN,SUPPORTED,true,python|pytorch|distributed systems|cuda,https://example.invalid/ashby/R11,foxgloveai::researchengineerintern::summer2027
obs_aa79f60d09607f41,1,ashby,ashby-R12,1,2026-08-03 11:00:00+00,2026-07-26 00:00:00+00,2026-08-03 11:05:00+00,,,Granite Trading,Quantitative Developer Intern,"Chicago, IL",Summer 2027,Quant,OPEN,SUPPORTED,true,c++|python|low latency,https://example.invalid/ashby/R12,granitetrading::quantitativedeveloperintern::summer2027
obs_a576e392a920fdf8,1,linkedin,linkedin-R01,1,2026-08-03 15:00:00+00,2026-07-28 00:00:00+00,2026-08-03 15:05:00+00,,,Northwind Systems,Software Engineer Intern,New York City,Summer 2027,SWE,OPEN,SUPPORTED,true,python|sql|distributed systems,https://example.invalid/linkedin/R01,northwindsystems::softwareengineerintern::summer2027
obs_a0c625d601c601ca,1,linkedin,linkedin-R03,1,2026-08-03 15:00:00+00,2026-07-25 00:00:00+00,2026-08-03 15:05:00+00,,,Acme Robotics,Robotics Software Intern,"Pittsburgh, PA",Summer 2027,SWE,OPEN,UNKNOWN,true,c++|ros|linux,https://example.invalid/linkedin/R03,acmerobotics::roboticssoftwareintern::summer2027
obs_63f68452406092c9,1,linkedin,linkedin-R10,1,2026-08-03 15:00:00+00,2026-08-03 16:00:00+00,2026-08-03 15:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,python|statistics|sql,https://example.invalid/linkedin/R10,everlinehealth::datascienceintern::summer2027
obs_c701253edfcf9eff,2,community,community-R05,1,2026-08-04 06:00:00+00,2026-07-20 00:00:00+00,2026-08-04 06:05:00+00,,,Bluewater Capital,Quantitative Research Intern,"Chicago, IL",Summer 2027,Quant,OPEN,UNSUPPORTED,true,,https://example.invalid/community/R05,bluewatercapital::quantitativeresearchintern::summer2027
obs_379751f14219e48e,2,community,community-R10,1,2026-08-04 06:00:00+00,2026-07-30 00:00:00+00,2026-08-04 06:05:00+00,,,Everline Health,Data Science Intern,"Boston, MA",Summer 2027,ML/AI,OPEN,UNKNOWN,true,,https://example.invalid/community/R10,everlinehealth::datascienceintern::summer2027
obs_9776cfff753692da,2,intern-list,intern-list-R07,1,2026-08-04 07:00:00+00,2026-07-27 00:00:00+00,2026-08-04 07:05:00+00,,,Cedar Analytics,Data Engineer Intern,"New York, NY",Summer 2027,SWE,OPEN,SUPPORTED,true,,https://example.invalid/intern-list/R07,cedaranalytics::dataengineerintern::summer2027
